t,psi
4320.0,0.054246859612919425
4332.0,0.055209731137798285
4344.0,0.05618556580104803
4356.0,0.05717444809169205
4368.0,0.05817646108824553
4380.0,0.05919168640926507
4392.0,0.0602202041635715
4404.0,0.061262092900161
4416.0,0.06231742955782209
4428.0,0.06338628941447556
4440.0,0.0644687460362553
4452.0,0.06556487122634751
4464.0,0.06667473497360779
4476.0,0.06779840540097483
4488.0,0.06893594871369944
4500.0,0.07008742914741041
4512.0,0.07125290891603561
4524.0,0.0724324481596006
4536.0,0.0736261048919251
4548.0,0.07483393494823919
4560.0,0.07605599193274085
4572.0,0.07729232716611777
4584.0,0.0785429896330552
4596.0,0.07980802592975418
4608.0,0.08108748021148256
4620.0,0.08238139414018311
4632.0,0.08368980683216319
4644.0,0.08501275480588966
4656.0,0.08635027192991493
4668.0,0.08770238937095867
4680.0,0.0890691355421709
4692.0,0.09045053605160241
4704.0,0.09184661365090858
4716.0,0.09325738818431271
4728.0,0.09468287653785613
4740.0,0.09612309258896166
4752.0,0.09757804715633767
4764.0,0.0990477479502505
4776.0,0.10053219952319208
4788.0,0.102031403220972
4800.0,0.1035453571342608
4812.0,0.10507405605061361
4824.0,0.10661749140700226
4836.0,0.10817565124288465
4848.0,0.10974852015383968
4860.0,0.11133607924579753
4872.0,0.11293830608989336
4884.0,0.11455517467797417
4896.0,0.11618665537878778
4908.0,0.11783271489488312
4920.0,0.11949331622025135
4932.0,0.12116841859873698
4944.0,0.12285797748324835
4956.0,0.12456194449579723
4968.0,0.1262802673883964
4980.0,0.1280128900048445
4992.0,0.12975975224342798
5004.0,0.13152079002056877
5016.0,0.1332959352354472
5028.0,0.13508511573562867
5040.0,0.1368882552837241
5052.0,0.13870527352511036
5064.0,0.14053608595674294
5076.0,0.14238060389708598
5088.0,0.1442387344571894
5100.0,0.14611038051294128
5112.0,0.14799544067852174
5124.0,0.14989380928108811
5136.0,0.15180537633671615
5148.0,0.15373002752762616
5160.0,0.15566764418071916
5172.0,0.15761810324745032
5184.0,0.15958127728506497
5196.0,0.16155703443922262
5208.0,0.1635452384280351
5220.0,0.16554574852754164
5232.0,0.16755841955864756
5244.0,0.16958310187554743
5256.0,0.1716196413556591
5268.0,0.17366787939108885
5280.0,0.1757276528816517
5292.0,0.17779879422946768
5304.0,0.1798811313351553
5316.0,0.18197448759564372
5328.0,0.18407868190362264
5340.0,0.18619352864864955
5352.0,0.188318837719934
5364.0,0.19045441451081566
5376.0,0.19260005992495466
5388.0,0.19475557038425115
5400.0,0.19692073783850872
5412.0,0.199095349776859
5424.0,0.20127918924096086
5436.0,0.20347203483998805
5448.0,0.20567366076741916
5460.0,0.2078838368196417
5472.0,0.21010232841638157
5484.0,0.2123288966229693
5496.0,0.21456329817445263
5508.0,0.21680528550156386
5520.0,0.2190546067585515
5532.0,0.22131100585288183
5544.0,0.2235742224768181
5556.0,0.2258439921408823
5568.0,0.22812004620920384
5580.0,0.23040211193675933
5592.0,0.23268991250850593
5604.0,0.23498316708040948
5616.0,0.2372815908223692
5628.0,0.23958489496303825
5640.0,0.24189278683653848
5652.0,0.24420496993106838
5664.0,0.24652114393939994
5676.0,0.2488410048112609
5688.0,0.25116424480759714
5700.0,0.2534905525567086
5712.0,0.25581961311225243
5724.0,0.25815110801310376
5736.0,0.2604847153450662
5748.0,0.2628201098044203
5760.0,0.2651569627633007
5772.0,0.2674949423368865
5784.0,0.2698337134523945
5796.0,0.2721729379198588
5808.0,0.2745122745046815
5820.0,0.2768513790019388
5832.0,0.2791899043124237
5844.0,0.28152750052040676
5856.0,0.28386381497309643
5868.0,0.28619849236177575
5880.0,0.2885311748045959
5892.0,0.29086150193100263
5904.0,0.293189110967771
5916.0,0.2955136368266249
5928.0,0.2978347121934146
5940.0,0.300151967618825
5952.0,0.30246503161058724
5964.0,0.3047735307271645
5976.0,0.3070770896728819
5988.0,0.309375331394469
6000.0,0.31166787717898453
6012.0,0.3139543467530886
6024.0,0.31623435838363
6036.0,0.31850752897951307
6048.0,0.3207734741948082
6060.0,0.32303180853307095
6072.0,0.32528214545283013
6084.0,0.3275240974742084
6096.0,0.3297572762866346
6108.0,0.3319812928576095
6120.0,0.33419575754248254
6132.0,0.3364002801951991
6144.0,0.3385944702799746
6156.0,0.34077793698385384
6168.0,0.34295028933011024
6180.0,0.34511113629244106
6192.0,0.34726008690991295
6204.0,0.34939675040261203
6216.0,0.35152073628795155
6228.0,0.3536316544975898
6240.0,0.3557291154949111
6252.0,0.35781273039301953
6264.0,0.35988211107319845
6276.0,0.3619368703037853
6288.0,0.3639766218594107
6300.0,0.36600098064055325
6312.0,0.3680095627933563
6324.0,0.3700019858296583
6336.0,0.3719778687471826
6348.0,0.3739368321498343
6360.0,0.37587849836805454
6372.0,0.37780249157917484
6384.0,0.3797084379277224
6396.0,0.38159596564562076
6408.0,0.383464705172232
6420.0,0.3853142892741885
6432.0,0.387144353164958
6444.0,0.3889545346240894
6456.0,0.3907444741160847
6468.0,0.39251381490884235
6480.0,0.3942622031916179
6492.0,0.3959892881924482
6504.0,0.39769472229498376
6516.0,0.39937816115467645
6528.0,0.4010392638142665
6540.0,0.4026776928185169
6552.0,0.4042931143281395
6564.0,0.4058851982328603
6576.0,0.40745361826357024
6588.0,0.4089980521035077
6600.0,0.41051818149842084
6612.0,0.41201369236565594
6624.0,0.4134842749021207
6636.0,0.41492962369106995
6648.0,0.4163494378076622
6660.0,0.41774342092323735
6672.0,0.41911128140826237
6684.0,0.42045273243389797
6696.0,0.4217674920721352
6708.0,0.4230552833944527
6720.0,0.4243158345689477
6732.0,0.42554887895589194
6744.0,0.4267541552016661
6756.0,0.42793140733102614
6768.0,0.4290803848376564
6780.0,0.43020084277296433
6792.0,0.4312925418330724
6804.0,0.4323552484439652
6816.0,0.433388734844748
6828.0,0.4343927791689758
6840.0,0.4353671655240124
6852.0,0.43631168406837983
6864.0,0.43722613108705854
6876.0,0.43811030906470133
6888.0,0.4389640267567242
6900.0,0.43978709925823783
6912.0,0.44057934807078525
6924.0,0.4413406011668515
6936.0,0.44207069305211366
6948.0,0.44276946482539886
6960.0,0.44343676423631967
6972.0,0.4440724457405588
6984.0,0.4446763705527734
6996.0,0.44524840669709337
7008.0,0.4457884290551876
7020.0,0.446296319411873
7032.0,0.44677196649824397
7044.0,0.4472152660322997
7056.0,0.4476261207570486
7068.0,0.4480044404760706
7080.0,0.4483501420865191
7092.0,0.44866314960954506
7104.0,0.44894339421812873
7116.0,0.44919081426230395
7128.0,0.44940535529176184
7140.0,0.44958697007582343
7152.0,0.44973561862076955
7164.0,0.4498512681845207
7176.0,0.4499338932886573
7188.0,0.44998347572777625
7200.0,0.4500000045761778
7212.0,0.44998347619187895
7224.0,0.449933894217953
7236.0,0.44985126958119215
7248.0,0.44973562048809657
7260.0,0.4495869724181894
7272.0,0.44940535811466287
7284.0,0.44919081757235985
7296.0,0.4489433980230966
7308.0,0.44866315391833517
7320.0,0.4483501469092128
7332.0,0.44800444582394117
7344.0,0.4476261266425838
7356.0,0.4472152724692271
7368.0,0.44677197350155895
7380.0,0.4462963269978691
7392.0,0.4457884372414892
7404.0,0.44524841550269145
7416.0,0.44467637999806375
7428.0,0.44407245584738286
7440.0,0.4434367750280085
7452.0,0.4427694763268199
7464.0,0.4420707052897203
7476.0,0.441340614168736
7488.0,0.4405793618667346
7500.0,0.43978711387979286
7512.0,0.43896404223724206
7524.0,0.4381103254394216
7536.0,0.43722614839317253
7548.0,0.4363117023451039
7560.0,0.4353671848126649
7572.0,0.4343927995130577
7584.0,0.43338875629002815
7596.0,0.43235527103856924
7608.0,0.43129256562757606
7620.0,0.43020086782049144
7632.0,0.4290804111939816
7644.0,0.4279314350546817
7656.0,0.42675418435405477
7668.0,0.425548909601404
7680.0,0.4243158667750839
7692.0,0.4230553172319526
7704.0,0.421767527615111
7716.0,0.4204527697599746
7728.0,0.41911132059872364
7740.0,0.4177434620631784
7752.0,0.4163494809861487
7764.0,0.41492966900130396
7776.0,0.413484322441614
7788.0,0.41201374223641024
7800.0,0.4105182338071163
7812.0,0.4089981069616987
7824.0,0.40745367578788994
7836.0,0.40588525854523355
7848.0,0.4042931775560045
7860.0,0.4026777590950564
7872.0,0.40103933327864805
7884.0,0.3993782339523029
7896.0,0.39769479857775414
7908.0,0.3959893681190288
7920.0,0.39426228692772497
7932.0,0.3925139026275356
7944.0,0.39074456599807333
7956.0,0.38895463085805
7968.0,0.3871444539478653
7980.0,0.38531439481165974
7992.0,0.3834648156788846
8004.0,0.3815960813454442
8016.0,0.3797085590544654
8028.0,0.3778026183767471
8040.0,0.3758786310909453
8052.0,0.3739369710635464
8064.0,0.3719780141286839
8076.0,0.3700021379678513
8088.0,0.3680097219895652
8100.0,0.36600114720903076
8112.0,0.36397679612786393
8124.0,0.3619370526139223
8136.0,0.3598823017812958
8148.0,0.35781292987051194
8160.0,0.35572932412900327
8172.0,0.35363187269189206
8184.0,0.3515209644631396
8196.0,0.349396988997112
8208.0,0.34726033638061227
8220.0,0.3451113971154263
8232.0,0.34295056200143337
8244.0,0.34077822202032637
8256.0,0.3385947682199925
8268.0,0.3364005915995983
8280.0,0.33419608299542647
8292.0,0.33198163296750977
8304.0,0.3297576316871058
8316.0,0.32752446882505887
8328.0,0.3252825334410886
8340.0,0.3230322138740519
8352.0,0.32077389763321595
8364.0,0.3185079712905868
8376.0,0.31623482037433026
8388.0,0.31395482926332774
8400.0,0.3116683810829017
8412.0,0.3093758576017515
8424.0,0.3070776391301346
8436.0,0.3047741044193287
8448.0,0.30246563056241044
8460.0,0.3001525928963844
8472.0,0.2978353649056943
8484.0,0.2955143181271502
8496.0,0.2931898220563007
8508.0,0.29086224405528177
8520.0,0.2885319492621707
8532.0,0.28619930050187264
8544.0,0.283864658198568
8556.0,0.28152838028974525
8568.0,0.2791908221418463
8580.0,0.2768523364675453
8592.0,0.27451327324468766
8604.0,0.27217397963690715
8616.0,0.26983479991594583
8628.0,0.2674960753856941
8640.0,0.26515814430796997
8652.0,0.2628213418300566
8664.0,0.2604859999140138
8676.0,0.25815244726777825
8688.0,0.2558210092780706
8700.0,0.2534920079451175
8712.0,0.25116576181920613
8724.0,0.24884258593908037
8736.0,0.24652279177218867
8748.0,0.24420668715679417
8760.0,0.24189457624595478
8772.0,0.23958675945338073
8784.0,0.23728353340117567
8796.0,0.23498519086946698
8808.0,0.23269202074792894
8820.0,0.2304043079892029
8832.0,0.22812233356421585
8844.0,0.22584637441939887
8856.0,0.22357670343580663
8868.0,0.2213135893901357
8880.0,0.21905729691764136
8892.0,0.21680808647694977
8904.0,0.21456621431676212
8916.0,0.21233193244444576
8928.0,0.2101054885965084
8940.0,0.2078871262109471
8952.0,0.20567708440146668
8964.0,0.2034755979335586
8976.0,0.20128289720243137
8988.0,0.19909920821278346
9000.0,0.19692475256040742
9012.0,0.194759747415614
9024.0,0.19260440550846455
9036.0,0.19045893511579834
9048.0,0.18832354005004034
9060.0,0.18619841964977732
9072.0,0.18408376877208385
9084.0,0.1819797777865847
9096.0,0.17988663257123647
9108.0,0.17780451450981
9120.0,0.1757336004910572
9132.0,0.1736740629095427
9144.0,0.17162606966812077
9156.0,0.16958978418203893
9168.0,0.16756536538464661
9180.0,0.16555296773468794
9192.0,0.16355274122515812
9204.0,0.16156483139369948
9216.0,0.1595893793345169
9228.0,0.1576265217117869
9240.0,0.15567639077453932
9252.0,0.15373911437298526
9264.0,0.15181481597626859
9276.0,0.14990361469161517
9288.0,0.14800562528485478
9300.0,0.14612095820229004
9312.0,0.14424971959388602
9324.0,0.14239201133775517
9336.0,0.14054793106590907
9348.0,0.1387175721912525
9360.0,0.1369010239357899
9372.0,0.1350983713600191
9384.0,0.13330969539348297
9396.0,0.1315350728664512
9408.0,0.12977457654270563
9420.0,0.12802827515339846
9432.0,0.12629623343195642
9444.0,0.12457851215000168
9456.0,0.12287516815426115
9468.0,0.12118625440443449
9480.0,0.11951182001199309
9492.0,0.11785191027987985
9504.0,0.1162065667430811
9516.0,0.11457582721004186
9528.0,0.11295972580489505
9540.0,0.11135829301047542
9552.0,0.10977155571208942
9564.0,0.10819953724201159
9576.0,0.10664225742467878
9588.0,0.1050997326225532
9600.0,0.10357197578262504
9612.0,0.10205899648352681
9624.0,0.10056080098322986
9636.0,0.09907739226729492
9648.0,0.09760877009764847
9660.0,0.0961549310618566
9672.0,0.0947158686228681
9684.0,0.0932915731691996
9696.0,0.09188203206553444
9708.0,0.09048722970370815
9720.0,0.08910714755405345
9732.0,0.08774176421707758
9744.0,0.08639105547544562
9756.0,0.08505499434624302
9768.0,0.08373355113349126
9780.0,0.08242669348089104
9792.0,0.0811343864247671
9804.0,0.07985659244718943
9816.0,0.07859327152924639
9828.0,0.07734438120444444
9840.0,0.07610987661221064
9852.0,0.07488971055147399
9864.0,0.0736838335343015
9876.0,0.07249219383956686
9888.0,0.07131473756662751
9900.0,0.07015140868898873
9912.0,0.06900214910793188
9924.0,0.06786689870608582
9936.0,0.06674559540091922
9948.0,0.0656381751981343
9960.0,0.06454457224493958
9972.0,0.0634647188831836
9984.0,0.0623985457023282
9996.0,0.061345981592243075
10008.0,0.0603069537958028
10020.0,0.05928138796126727
10032.0,0.05826920819442822
10044.0,0.05727033711050389
10056.0,0.056284695885765165
10068.0,0.055312204308875734
10080.0,0.054352780831931215
10092.0,0.053406342621180464
10104.0,0.05247280560741393
10116.0,0.051552084536004746
10128.0,0.050644093016587434
10140.0,0.049748743572360345
10152.0,0.04886594768899888
10164.0,0.047995615863165406
10176.0,0.04713765765060394
10188.0,0.0462919817138072
10200.0,0.04545849586924387
10212.0,0.04463710713413547
10224.0,0.04382772177277108
10236.0,0.04303024534235014
10248.0,0.04224458273834273
10260.0,0.04147063823935823
10272.0,0.040708315551512726
10284.0,0.03995751785228674
10296.0,0.03921814783386478
10308.0,0.0384901077459487
10320.0,0.03777329943803771
10332.0,0.03706762440116729
10344.0,0.03637298380910127
10356.0,0.035689278558969736
10368.0,0.035016409311347634
10380.0,0.03435427652976817
10392.0,0.03370278051966605
10404.0,0.03306182146674557
10416.0,0.032431299474769755
10428.0,0.03181111460276564
10440.0,0.03120116690164303
10452.0,0.030601356450222664
10464.0,0.030011583390671365
10476.0,0.029431747963341186
10488.0,0.028861750541010884
10500.0,0.028301491662526948
10512.0,0.02775087206584345
10524.0,0.027209792720458884
10536.0,0.02667815485924916
10548.0,0.026155860009696337
10560.0,0.025642810024512325
10572.0,0.025138907111657758
10584.0,0.024644053863756225
10596.0,0.024158153286904294
10608.0,0.02368110882887794
10620.0,0.023212824406736898
10632.0,0.022753204433827424
10644.0,0.0223021538461858
10656.0,0.021859578128343726
10668.0,0.021425383338537933
10680.0,0.020999476133326134
10692.0,0.02058176379161167
10704.0,0.020172154238079647
10716.0,0.0197705560660472
10728.0,0.019376878559731213
