t,psi_truth,psi_recovered
3468.0,0.01289182992954255,0.020625347484463395
3480.0,0.013189270910650247,0.021320897931339386
3492.0,0.013492583238689381,0.022028750570163527
3504.0,0.01380185686187736,0.02274899929694268
3516.0,0.01411718246479191,0.02348173641423286
3528.0,0.01443865145829913,0.0242270529629513
3540.0,0.01476635596898124,0.02498503871147587
3552.0,0.015100388828057395,0.025755781823816968
3564.0,0.015440843559790873,0.02653936827047702
3576.0,0.015787814369376107,0.027335881078228968
3588.0,0.016141396130299395,0.0281453995339969
3600.0,0.016501684371166787,0.028967998461002103
3612.0,0.016868775261993266,0.029803747672442368
3624.0,0.01724276559994724,0.030652711681609723
3636.0,0.01762375279454425,0.03151494971172144
3648.0,0.018011834852284747,0.032390516009162165
3660.0,0.018407110360730044,0.03327946042583013
3672.0,0.01880967847201128,0.03418182920477455
3684.0,0.019219638885766242,0.03509766588196725
3696.0,0.019637091831499195,0.03602701220780227
3708.0,0.020062138050358665,0.036969908994901345
3720.0,0.02049487877632902,0.03792639681247276
3732.0,0.020935415716831114,0.03889651646903437
3744.0,0.021383851032728135,0.03988030925126096
3756.0,0.021840287317732517,0.04087781691343395
3768.0,0.022304827577210418,0.041889081436245194
3780.0,0.02277757520638007,0.042914144593138796
3792.0,0.023258633967900975,0.043953047375615006
3804.0,0.02374810796885096,0.04500582933561059
3816.0,0.024246101637088083,0.04607252790379429
3828.0,0.024752719696995527,0.04715317773851888
3840.0,0.025268067144606485,0.04824781015272561
3852.0,0.02579224922210791,0.049356452656729326
3864.0,0.026325371391720986,0.050479128644694844
3876.0,0.026867539308957137,0.05161585724255339
3888.0,0.02741885879524856,0.0527666533254804
3900.0,0.027979435809952605,0.05393152770394693
3912.0,0.028549376421729264,0.05511048746869618
3924.0,0.02912878677929202,0.0563035364767141
3936.0,0.029717773081532173,0.05751067595245534
3948.0,0.03031644154701683,0.05873190517156649
3960.0,0.030924898382862193,0.05996722218868057
3972.0,0.03154324975298235,0.06121662456720231
3984.0,0.03217160174571612,0.062480110068028415
3996.0,0.03281006034083312,0.06375767725628864
4008.0,0.03345873137592191,0.06504932599057596
4020.0,0.034117720512162296,0.06635505776737284
4032.0,0.034787133199485454,0.06767487590369932
4044.0,0.03546707464112452,0.06900878555222169
4056.0,0.036157649757560244,0.07035679355386219
4068.0,0.036858963149865136,0.07171890814204214
4080.0,0.03757111906245123,0.07309513851913275
4092.0,0.03829422134522602,0.07448549432899614
4104.0,0.039028373415162305,0.07588998504977011
4116.0,0.039773678217287216,0.07730861932902303
4128.0,0.040530238185097274,0.07874140428011327
4140.0,0.041298155200405424,0.08018834475539431
4152.0,0.04207753055262757,0.08164944260996176
4164.0,0.042868464897515765,0.08312469596978413
4176.0,0.04367105821534597,0.08461409852052072
4188.0,0.044485409768568886,0.08611763883770976
4200.0,0.04531161805893233,0.08763529978428167
4212.0,0.04614978078408461,0.08916705800610172
4224.0,0.04699999479366824,0.09071288355896792
4236.0,0.04786235604491441,0.09227273969988224
4248.0,0.04873695955774817,0.09384658287068415
4260.0,0.049623899369416094,0.09543436289323576
4272.0,0.05052326848864701,0.09703602338294896
4284.0,0.05143515884935817,0.09865150237286865
4296.0,0.05235966126391926,0.10028073312552405
4308.0,0.053296865375986276,0.10192364509608946
4320.0,0.054246859612919425,0.10358016499960032
4332.0,0.055209731137798285,0.10525021792802663
4344.0,0.05618556580104803,0.10693372846021763
4356.0,0.05717444809169205,0.10863062170876323
4368.0,0.05817646108824553,0.1103408242518197
4380.0,0.05919168640926507,0.11206426490393907
4392.0,0.0602202041635715,0.113800875287004
4404.0,0.061262092900161,0.11555059017001629
4416.0,0.06231742955782209,0.11731334755471265
4428.0,0.06338628941447556,0.1190890884933183
4440.0,0.0644687460362553,0.12087775663593334
4452.0,0.06556487122634751,0.1226792975188354
4464.0,0.06667473497360779,0.1244936576215449
4476.0,0.06779840540097483,0.12632078323939383
4488.0,0.06893594871369944,0.12816061923796873
4500.0,0.07008742914741041,0.13001310777382238
4512.0,0.07125290891603561,0.13187818707924295
4524.0,0.0724324481596006,0.13375579041457228
4536.0,0.0736261048919251,0.135645845287057
4548.0,0.07483393494823919,0.1375482730192155
4560.0,0.07605599193274085,0.1394629887225612
4572.0,0.07729232716611777,0.14138990169644722
4584.0,0.0785429896330552,0.1433289162307399
4596.0,0.07980802592975418,0.14527993275007547
4608.0,0.08108748021148256,0.14724284920214373
4620.0,0.08238139414018311,0.14921756256774513
4632.0,0.08368980683216319,0.15120397035986013
4644.0,0.08501275480588966,0.1532019719841284
4656.0,0.08635027192991493,0.15521146985305345
4668.0,0.08770238937095867,0.1572323701777442
4680.0,0.0890691355421709,0.1592645833991706
4692.0,0.09045053605160241,0.16130802425999843
4704.0,0.09184661365090858,0.16336261155257528
4716.0,0.09325738818431271,0.1654282676041082
4728.0,0.09468287653785613,0.16750491757408753
4740.0,0.09612309258896166,0.16959248864132762
4752.0,0.09757804715633767,0.17169090915045743
4764.0,0.0990477479502505,0.1738001077738928
4776.0,0.10053219952319208,0.17592001272937946
4788.0,0.102031403220972,0.1780505510791893
4800.0,0.1035453571342608,0.18019164812789373
4812.0,0.10507405605061361,0.18234322693243651
4824.0,0.10661749140700226,0.184505207940436
4836.0,0.10817565124288465,0.18667750877779143
4848.0,0.10974852015383968,0.18886004421144967
4860.0,0.11133607924579753,0.1910527263140657
4872.0,0.11293830608989336,0.1932554648514994
4884.0,0.11455517467797417,0.19546816790036117
4896.0,0.11618665537878778,0.19769074268175307
4908.0,0.11783271489488312,0.1999230965715245
4920.0,0.11949331622025135,0.2021651382207146
4932.0,0.12116841859873698,0.20441677869708622
4944.0,0.12285797748324835,0.20667793254413336
4956.0,0.12456194449579723,0.20894851865098726
4968.0,0.1262802673883964,0.21122846083656624
4980.0,0.1280128900048445,0.21351768807348934
4992.0,0.12975975224342798,0.21581613430879018
5004.0,0.13152079002056877,0.21812373787525163
5016.0,0.1332959352354472,0.22044044052401077
5028.0,0.13508511573562867,0.22276618614141336
5040.0,0.1368882552837241,0.22510091923704478
5052.0,0.13870527352511036,0.22744458330330866
5064.0,0.14053608595674294,0.2297971191496697
5076.0,0.14238060389708598,0.23215846330794201
5088.0,0.1442387344571894,0.2345285465915704
5100.0,0.14611038051294128,0.2369072928746347
5112.0,0.14799544067852174,0.2392946181383532
5124.0,0.14989380928108811,0.2416904298162018
5136.0,0.15180537633671615,0.2440946264545117
5148.0,0.15373002752762616,0.24650709769331228
5160.0,0.15566764418071916,0.24892772456134574
5172.0,0.15761810324745032,0.2513563800681288
5184.0,0.15958127728506497,0.25379293006346576
5196.0,0.16155703443922262,0.2562372343204071
5208.0,0.1635452384280351,0.258689147781669
5220.0,0.16554574852754164,0.2611485218936088
5232.0,0.16755841955864756,0.26361520593811516
5244.0,0.16958310187554743,0.2660890482641422
5256.0,0.1716196413556591,0.26856989731939
5268.0,0.17366787939108885,0.2710576023906796
5280.0,0.1757276528816517,0.2735520139793324
5292.0,0.17779879422946768,0.27605298376446086
5304.0,0.1798811313351553,0.27856036414025764
5316.0,0.18197448759564372,0.2810740073497917
5328.0,0.18407868190362264,0.2835937642735464
5340.0,0.18619352864864955,0.2861194829620699
5352.0,0.188318837719934,0.2886510070254
5364.0,0.19045441451081566,0.2911881740048422
5376.0,0.19260005992495466,0.2937308138542878
5388.0,0.19475557038425115,0.29627874764870393
5400.0,0.19692073783850872,0.2988317866179621
5412.0,0.199095349776859,0.3013897315770616
5424.0,0.20127918924096086,0.30395237279184656
5436.0,0.20347203483998805,0.3065194902853151
5448.0,0.20567366076741916,0.309090854556548
5460.0,0.2078838368196417,0.3116662276546247
5472.0,0.21010232841638157,0.3142453645258025
5484.0,0.2123288966229693,0.3168280145353224
5496.0,0.21456329817445263,0.3194139230564666
5508.0,0.21680528550156386,0.3220028330194558
5520.0,0.2190546067585515,0.3245944863211089
5532.0,0.22131100585288183,0.3271886250121938
5544.0,0.2235742224768181,0.329784992201399
5556.0,0.2258439921408823,0.332383332640842
5568.0,0.22812004620920384,0.33498339298553675
5580.0,0.23040211193675933,0.33758492174551874
5592.0,0.23268991250850593,0.34018766897197017
5604.0,0.23498316708040948,0.3427913857355815
5616.0,0.2372815908223692,0.34539582346529174
5628.0,0.23958489496303825,0.34800073321811087
5640.0,0.24189278683653848,0.3506058649466255
5652.0,0.24420496993106838,0.35321096682131176
5664.0,0.24652114393939994,0.3558157846521279
5676.0,0.2488410048112609,0.3584200614399923
5688.0,0.25116424480759714,0.361023537075683
5700.0,0.2534905525567086,0.3636259481927318
5712.0,0.25581961311225243,0.36622702817256825
5724.0,0.25815110801310376,0.3688265072943766
5736.0,0.2604847153450662,0.371424113017959
5748.0,0.2628201098044203,0.37401957038427647
5760.0,0.2651569627633007,0.37661260251428125
5772.0,0.2674949423368865,0.3792029311814251
5784.0,0.2698337134523945,0.3817902774268933
5796.0,0.2721729379198588,0.38437436217993975
5808.0,0.2745122745046815,0.3869549068398184
5820.0,0.2768513790019388,0.38953163377243394
5832.0,0.2791899043124237,0.3921042666752696
5844.0,0.28152750052040676,0.39467253076943576
5856.0,0.28386381497309643,0.3972361527879487
5868.0,0.28619849236177575,0.39979486074392545
